run,condition,job,rw,bw_MiBps,iops,lat_p50_us,lat_p99_us,usr_cpu_pct,sys_cpu_pct,source
r3,A,rand-read-4k,read,53.81,13775.3,69.12,113.152,3.04,46.35,/home/xp/src/zipfs/bench/results/20260628-1212/r3/A/rand-read.json
r3,A,rand-read-64k,read,506.68,8106.88,120.32,187.392,4.6,53.51,/home/xp/src/zipfs/bench/results/20260628-1212/r3/A/rand-read.json
r3,A,rand-write-4k,write,11.739,3005.31,4.96,41.728,0.54,19.69,/home/xp/src/zipfs/bench/results/20260628-1212/r3/A/rand-write.json
r3,A,rand-write-64k,write,93.218,1491.49,44.8,107.008,1.01,18.24,/home/xp/src/zipfs/bench/results/20260628-1212/r3/A/rand-write.json
r3,A,seq-write,write,292.822,292.82,444.416,733.184,4.75,25.14,/home/xp/src/zipfs/bench/results/20260628-1212/r3/A/seq-write.json
r3,B0,rand-read-4k,read,71.389,18275.52,52.992,82.432,2.88,38.79,/home/xp/src/zipfs/bench/results/20260628-1212/r3/B0/rand-read.json
r3,B0,rand-read-64k,read,1294.563,20713.02,44.288,101.888,3.04,19.75,/home/xp/src/zipfs/bench/results/20260628-1212/r3/B0/rand-read.json
r3,B0,rand-write-4k,write,19.837,5078.34,62.208,140.288,2.8,10.74,/home/xp/src/zipfs/bench/results/20260628-1212/r3/B0/rand-write.json
r3,B0,rand-write-64k,write,104.886,1678.17,87.552,6520.832,2.68,2.22,/home/xp/src/zipfs/bench/results/20260628-1212/r3/B0/rand-write.json
r3,B0,seq-write,write,355.309,355.31,724.992,1056.768,6.0,1.53,/home/xp/src/zipfs/bench/results/20260628-1212/r3/B0/seq-write.json
r3,BS,rand-read-4k,read,53.593,13719.79,72.192,105.984,1.95,29.45,/home/xp/src/zipfs/bench/results/20260628-1212/r3/BS/rand-read.json
r3,BS,rand-read-64k,read,970.615,15529.86,60.672,120.32,3.23,12.9,/home/xp/src/zipfs/bench/results/20260628-1212/r3/BS/rand-read.json
r3,BS,rand-write-4k,write,5.806,1486.26,261.12,2899.968,0.86,3.58,/home/xp/src/zipfs/bench/results/20260628-1212/r3/BS/rand-write.json
r3,BS,rand-write-64k,write,57.784,924.55,313.344,13434.88,1.47,0.65,/home/xp/src/zipfs/bench/results/20260628-1212/r3/BS/rand-write.json
r3,BS,seq-write,write,191.616,191.62,3293.184,4685.824,3.14,1.25,/home/xp/src/zipfs/bench/results/20260628-1212/r3/BS/seq-write.json
r3,BV,rand-read-4k,read,42.196,10802.49,87.552,140.288,2.4,24.45,/home/xp/src/zipfs/bench/results/20260628-1212/r3/BV/rand-read.json
r3,BV,rand-read-64k,read,547.886,8766.19,114.176,175.104,2.68,6.8,/home/xp/src/zipfs/bench/results/20260628-1212/r3/BV/rand-read.json
r3,BV,rand-write-4k,write,7.595,1944.3,280.576,464.896,1.0,4.67,/home/xp/src/zipfs/bench/results/20260628-1212/r3/BV/rand-write.json
r3,BV,rand-write-64k,write,66.91,1070.57,325.632,2375.68,1.54,0.9,/home/xp/src/zipfs/bench/results/20260628-1212/r3/BV/rand-write.json
r3,BV,seq-write,write,150.698,150.7,3325.952,4292.608,2.3,1.15,/home/xp/src/zipfs/bench/results/20260628-1212/r3/BV/seq-write.json
r3,C0,rand-read-4k,read,19.464,4982.87,189.44,354.304,2.85,8.56,/home/xp/src/zipfs/bench/results/20260628-1212/r3/C0/rand-read.json
r3,C0,rand-read-64k,read,158.122,2529.96,366.592,552.96,1.34,13.14,/home/xp/src/zipfs/bench/results/20260628-1212/r3/C0/rand-read.json
r3,C0,rand-write-4k,write,28.008,7170.04,3.472,18.304,0.89,10.81,/home/xp/src/zipfs/bench/results/20260628-1212/r3/C0/rand-write.json
r3,C0,rand-write-64k,write,95.441,1527.08,12.736,52.48,1.31,4.93,/home/xp/src/zipfs/bench/results/20260628-1212/r3/C0/rand-write.json
r3,C0,seq-write,write,216.353,216.35,220.16,675.84,3.06,7.14,/home/xp/src/zipfs/bench/results/20260628-1212/r3/C0/seq-write.json
