run,condition,job,rw,bw_MiBps,iops,lat_p50_us,lat_p99_us,usr_cpu_pct,sys_cpu_pct,source
r2,A,rand-read-4k,read,53.741,13757.95,69.12,114.176,2.88,46.59,/home/xp/src/zipfs/bench/results/20260628-1212/r2/A/rand-read.json
r2,A,rand-read-64k,read,528.652,8458.44,113.152,177.152,4.65,50.0,/home/xp/src/zipfs/bench/results/20260628-1212/r2/A/rand-read.json
r2,A,rand-write-4k,write,11.57,2962.15,5.088,41.728,0.52,19.87,/home/xp/src/zipfs/bench/results/20260628-1212/r2/A/rand-write.json
r2,A,rand-write-64k,write,94.911,1518.58,45.312,107.008,1.21,20.15,/home/xp/src/zipfs/bench/results/20260628-1212/r2/A/rand-write.json
r2,A,seq-write,write,245.269,245.27,888.832,1990.656,3.81,33.56,/home/xp/src/zipfs/bench/results/20260628-1212/r2/A/seq-write.json
r2,B0,rand-read-4k,read,72.052,18445.26,52.48,82.432,2.55,39.93,/home/xp/src/zipfs/bench/results/20260628-1212/r2/B0/rand-read.json
r2,B0,rand-read-64k,read,1272.049,20352.8,44.8,103.936,1.49,21.64,/home/xp/src/zipfs/bench/results/20260628-1212/r2/B0/rand-read.json
r2,B0,rand-write-4k,write,20.009,5122.4,62.208,138.24,2.69,10.85,/home/xp/src/zipfs/bench/results/20260628-1212/r2/B0/rand-write.json
r2,B0,rand-write-64k,write,111.998,1791.97,80.384,6258.688,2.41,2.13,/home/xp/src/zipfs/bench/results/20260628-1212/r2/B0/rand-write.json
r2,B0,seq-write,write,357.292,357.29,724.992,1011.712,5.03,2.51,/home/xp/src/zipfs/bench/results/20260628-1212/r2/B0/seq-write.json
r2,BS,rand-read-4k,read,52.818,13521.64,74.24,109.056,2.31,30.06,/home/xp/src/zipfs/bench/results/20260628-1212/r2/BS/rand-read.json
r2,BS,rand-read-64k,read,966.949,15471.2,60.672,121.344,1.8,14.46,/home/xp/src/zipfs/bench/results/20260628-1212/r2/BS/rand-read.json
r2,BS,rand-write-4k,write,5.855,1499.05,257.024,2867.2,0.82,3.5,/home/xp/src/zipfs/bench/results/20260628-1212/r2/BS/rand-write.json
r2,BS,rand-write-64k,write,59.197,947.16,309.248,14090.24,1.35,0.79,/home/xp/src/zipfs/bench/results/20260628-1212/r2/BS/rand-write.json
r2,BS,seq-write,write,193.609,193.61,3260.416,4685.824,2.33,2.17,/home/xp/src/zipfs/bench/results/20260628-1212/r2/BS/seq-write.json
r2,BV,rand-read-4k,read,43.465,11127.13,85.504,138.24,2.32,24.66,/home/xp/src/zipfs/bench/results/20260628-1212/r2/BV/rand-read.json
r2,BV,rand-read-64k,read,556.219,8899.51,112.128,175.104,2.17,7.28,/home/xp/src/zipfs/bench/results/20260628-1212/r2/BV/rand-read.json
r2,BV,rand-write-4k,write,7.807,1998.73,276.48,456.704,0.97,4.82,/home/xp/src/zipfs/bench/results/20260628-1212/r2/BV/rand-write.json
r2,BV,rand-write-64k,write,62.702,1003.25,329.728,27918.336,1.67,0.64,/home/xp/src/zipfs/bench/results/20260628-1212/r2/BV/rand-write.json
r2,BV,seq-write,write,140.446,140.45,3260.416,4227.072,1.84,1.22,/home/xp/src/zipfs/bench/results/20260628-1212/r2/BV/seq-write.json
r2,C0,rand-read-4k,read,18.978,4858.48,193.536,370.688,2.92,9.51,/home/xp/src/zipfs/bench/results/20260628-1212/r2/C0/rand-read.json
r2,C0,rand-read-64k,read,153.615,2457.85,395.264,602.112,1.55,18.11,/home/xp/src/zipfs/bench/results/20260628-1212/r2/C0/rand-read.json
r2,C0,rand-write-4k,write,30.866,7901.85,3.856,27.52,1.12,13.78,/home/xp/src/zipfs/bench/results/20260628-1212/r2/C0/rand-write.json
r2,C0,rand-write-64k,write,171.208,2739.34,15.296,128.512,2.21,11.29,/home/xp/src/zipfs/bench/results/20260628-1212/r2/C0/rand-write.json
r2,C0,seq-write,write,183.775,183.78,226.304,6651.904,2.51,11.7,/home/xp/src/zipfs/bench/results/20260628-1212/r2/C0/seq-write.json
